CÓDIGO;COMPONENTE_CURRICULAR;HABILIDADE;
EF08LI08;INGLÊS; Analisar , criticamente, o conteúdo de textos, comparando diferentes perspectivas apresentadas sobre um mesmo assunto.;
EF08LI15;INGLÊS; Utilizar , de modo inteligível, as formas comparativas e superlativas de adjetivos para comparar qualidades e quan - tidades.;
EF08LP04;PORTUGUÊS;A Identificar aspectos linguísticos e gramaticais ortografia, regências e concordâncias nominal e verbal, modos e tempos verbais, pontuação, acentuação, hifenização, estilo etc. em funcionamento em um texto.;
EF08LP05;PORTUGUÊS;B Apropriar -se de regras básicas de uso do hífen em palavras compostas.;
EF08LP05;PORTUGUÊS;C Analisar processos de formação de palavrascompostas.;
EF08LP08;PORTUGUÊS;A Identificar, em gêneros textuais, verbos na voz ativa, passiva, reflexiva;
EF08LP08;PORTUGUÊS;A Identificar, em gêneros textuais, verbos na voz ativa, passiva, reflexiva.;
EF08LP08;PORTUGUÊS;B Inferir, em gêneros textuais, os efeitos de sentido proporcionados pelo sujeitoativo,passivo ereflexivo;
EF08LP09;PORTUGUÊS;A Inferir, em gêneros textuais, efeitos de sentido proporcionados por modificadores adjuntos adnominais – artigos definido ou indefinido, adjetivos, expressões adjetivas em substantivos com função de sujeito ou de complemento verbal.;
EF08LP10;PORTUGUÊS;A Analisar, em gêneros textuais, efeitos de sentido de modificadores do verbo adjuntos adverbiais – advérbios e expressões adverbiais.;
EF08MA04;MATEMÁTICA; Resolver e Elaborar situações -problema, envolvendo cálculo de porcentagens,  incluindo o uso de tecnologias digitais.;
EF08MA12;MATEMÁTICA; Identificar a natureza da variação de duas grandezas, diretamente inversamente proporcionais ou não proporcionais,  expressando a relação existente por meio de sentença algébrica e representá-la no plano cartesiano.;
EF08MA12;MATEMÁTICA; Identificar a natureza da variação de duas grandezas, diretamente, inversamente proporcionais ou não proporcionais expressando a relação existente por meio de sentença algébrica e representá-la no plano cartesiano.;
EF08MA13;MATEMÁTICA; Resolver e Elaborar  situaçõesproblema que envolvam grandezas diretamente ou inversamenteproporcionais, por meiodeestratégias variadas.;
EF08MA19;MATEMÁTICA; Resolver e Elaborar situações -problema que envolvam medidas de área de figuras geométricas,    utilizando expressões de cálculo de área(quadriláteros, triângulos e círculos, em situações como determinar medida de terrenos.;
EF08MA22;MATEMÁTICA; Calcular a probabilidade de eventos com base na construção do espaçoamostral, utilizando o princípio multiplicativo, e reconhecer que a soma das probabilidades de todos os elementos do espaço amostral é igual a 1.;
EF08MA22;MATEMÁTICA; Calcular e Reconhecer a probabilidade de eventos  com base na construção do espaço  amostral, utilizando o princípio multiplicativo, e reconhecer que a soma das probabilidades de todos os elementos do espaço amostral é igual a 1.;
EF08MA25;MATEMÁTICA; Obter os valores de medidas de tendência central de uma pesquisa estatística (média, moda e mediana  com a compreensão de seus significados e relacionálos com a dispersão de dados, indicada pela amplitude.;
EF08MA30;MATEMÁTICA; Resolver e Elaborar  problemas que envolvam congruência modular,  utilizando as propriedades das operações de adição, multiplicação e potenciação.;
EF09AR24;ARTE;  Reconhecer e Apreciar artistas, grupos, coletivos e manifestações cênicas do teatro contemporâneo paulistas, brasileiros e estrangeiros, investigando os modos coletivos e colaborativos de criação, produção, divulgação, circulação e organização da atuação profissional em teatro.;
EF09AR25;ARTE; Investigar, Identificar e Analisar odrama como gênero teatral e a relação entre as linguagens teatral e cinematográfica e as tecnologias digitais em diferentes tempos e espaços, inclusive no contexto paulista e brasileiro, aprimorando acapacidadedeapreciação estética teatral.;
EF09AR26;ARTE; Explorar e Reconhecer diferentes elementos envolvidos na composição dosacontecimentos cênicos do drama, do teatro contemporâneo e do cinema (figurinos, adereços, maquiagem/visagismo, cenário, iluminação e sonoplastia, incluindo o recurso a tecnologias digitais e reconhecer seus vocabulários.;
EF09AR28;ARTE; Experimentar diferentes funções teatrais (ator, figurinista, aderecista, maquiador/visagista, cenó - grafo, iluminador, sonoplasta, produtor, diretor e assessor de imprensa etc. em processos de trabalho artístico coletivos e colaborativos, e discutir os limites e desafios desse processo de trabalho.;
EF09CI14;CIÊNCIAS;Descrever acomposição e aestrutura do Sistema Solar Sol, planetas rochosos, planetas gigantes gasosos e corpos menores, assim como a localização do Sistema Solar na nossa Galáxia a Via Láctea e dela no Universo apenas uma galáxia dentre bilhões.;
